Line 1, 92.2C
Line 2, 65.5C
Line 3, 44.7C
Line 4, 63.5C
Line 5, 96.3C
Line 6, 30.8C
Line 7, 79C
Line 8, 65.3C
Line 9, 94.1C
Line 10, 36C
Line 11, 42.7C
Line 12, 38.5C
Line 13, 33.6C
Line 14, 81.6C
Line 15, 60.1C
Line 16, 40.6C
Line 17, 81.3C
Line 18, 86.8C
Line 19, 36.3C
Line 20, 52.1C
Line 21, 82.5C
Line 22, 73.7C
Line 23, 43.6C
Line 24, 90.2C
Line 25, 76C
Line 26, 49.2C
Line 27, 95.1C
Line 28, 53.4C
Line 29, 48.3C
Line 30, 31.6C
Line 31, 69.7C
Line 32, 65.3C
Line 33, 73.7C
Line 34, 73.2C
Line 35, 64.8C
Line 36, 37.5C
Line 37, 98.4C
Line 38, 45.2C
Line 39, 41.2C
Line 40, 60.3C
Line 41, 48.7C
Line 42, 80C
Line 43, 41.1C
Line 44, 71.2C
Line 45, 78.7C
Line 46, 66C
Line 47, 98.2C
Line 48, 98.9C
Line 49, 32.5C
Line 50, 47.9C
Line 51, 89.7C
Line 52, 97.7C
Line 53, 37.4C
Line 54, 39.5C
Line 55, 83.5C
Line 56, 87.9C
Line 57, 51.1C
Line 58, 99.4C
Line 59, 63.4C
Line 60, 35.6C
Line 61, 74C
Line 62, 68.6C
Line 63, 46.1C
Line 64, 33.1C
Line 65, 53.4C
Line 66, 43.3C
Line 67, 58.4C
Line 68, 84.3C
Line 69, 78.1C
Line 70, 70.6C
Line 71, 77.4C
Line 72, 52.8C
Line 73, 45.3C
Line 74, 46.7C
Line 75, 80.9C
Line 76, 80.9C
Line 77, 95.2C
Line 78, 68.3C
Line 79, 64.7C
Line 80, 84.2C
Line 81, 63.9C
Line 82, 80C
Line 83, 39.5C
Line 84, 80.4C
Line 85, 53.3C
Line 86, 93.6C
Line 87, 99.7C
Line 88, 86.6C
Line 89, 88C
Line 90, 83.2C
Line 91, 82.2C
Line 92, 92.9C
Line 93, 71.3C
Line 94, 78.5C
Line 95, 95.1C
Line 96, 37.4C
Line 97, 41.5C
Line 98, 92.3C
Line 99, 67.6C
Line 100, 59.5C
